"","site","parameter","date","year","month","day","hour","aqi","unit","duration","qc_name","aqi_categ"
"1","Hanoi","PM2.5 - Principal","2015-01-01T01:00:00Z",2015,1,1,1,NA,"UG/M3","1 Hr","Missing",NA
"2","Hanoi","PM2.5 - Principal","2015-01-01T02:00:00Z",2015,1,1,2,NA,"UG/M3","1 Hr","Missing",NA
"3","Hanoi","PM2.5 - Principal","2015-01-01T03:00:00Z",2015,1,1,3,NA,"UG/M3","1 Hr","Missing",NA
"4","Hanoi","PM2.5 - Principal","2015-01-01T04:00:00Z",2015,1,1,4,NA,"UG/M3","1 Hr","Missing",NA
"5","Hanoi","PM2.5 - Principal","2015-01-01T05:00:00Z",2015,1,1,5,NA,"UG/M3","1 Hr","Missing",NA
"6","Hanoi","PM2.5 - Principal","2015-01-01T06:00:00Z",2015,1,1,6,NA,"UG/M3","1 Hr","Missing",NA
"7","Hanoi","PM2.5 - Principal","2015-01-01T07:00:00Z",2015,1,1,7,NA,"UG/M3","1 Hr","Missing",NA
"8","Hanoi","PM2.5 - Principal","2015-01-01T08:00:00Z",2015,1,1,8,NA,"UG/M3","1 Hr","Missing",NA
"9","Hanoi","PM2.5 - Principal","2015-01-01T09:00:00Z",2015,1,1,9,NA,"UG/M3","1 Hr","Missing",NA
"10","Hanoi","PM2.5 - Principal","2015-01-01T10:00:00Z",2015,1,1,10,NA,"UG/M3","1 Hr","Missing",NA
"11","Hanoi","PM2.5 - Principal","2015-01-01T11:00:00Z",2015,1,1,11,NA,"UG/M3","1 Hr","Missing",NA
"12","Hanoi","PM2.5 - Principal","2015-01-01T12:00:00Z",2015,1,1,12,NA,"UG/M3","1 Hr","Missing",NA
"13","Hanoi","PM2.5 - Principal","2015-01-01T13:00:00Z",2015,1,1,13,NA,"UG/M3","1 Hr","Missing",NA
"14","Hanoi","PM2.5 - Principal","2015-01-01T14:00:00Z",2015,1,1,14,NA,"UG/M3","1 Hr","Missing",NA
"15","Hanoi","PM2.5 - Principal","2015-01-01T15:00:00Z",2015,1,1,15,NA,"UG/M3","1 Hr","Missing",NA
"16","Hanoi","PM2.5 - Principal","2015-01-01T16:00:00Z",2015,1,1,16,NA,"UG/M3","1 Hr","Missing",NA
"17","Hanoi","PM2.5 - Principal","2015-01-01T17:00:00Z",2015,1,1,17,NA,"UG/M3","1 Hr","Missing",NA
"18","Hanoi","PM2.5 - Principal","2015-01-01T18:00:00Z",2015,1,1,18,NA,"UG/M3","1 Hr","Missing",NA
"19","Hanoi","PM2.5 - Principal","2015-01-01T19:00:00Z",2015,1,1,19,NA,"UG/M3","1 Hr","Missing",NA
